Bradford,wikidataId/Q4954540,n/a,901
Bradford Township,geoId/1990324,n/a,n/a
Chickasaw,geoId/1903790663,n/a,n/a
Dayton,geoId/1903790909,n/a,n/a
Deerfield,wikidataId/Q5250880,n/a,109
Deerfield Township,geoId/1990942,n/a,n/a
Dresden,geoId/1903791083,n/a,n/a
Fredericksburg,geoId/1928965,n/a,447
Fredericksburg Township,geoId/1991437,n/a,n/a
Jacksonville,geoId/1903792184,n/a,n/a
New Hampton,geoId/1956100,n/a,1264
New Hampton Township,geoId/1993081,n/a,n/a
Richland,geoId/1903793576,n/a,n/a
Stapleton,geoId/1903794008,n/a,n/a
Utica,geoId/1903794299,n/a,n/a
Washington,geoId/1903794473,n/a,n/a
Midland,geoId/4642140,n/a,62
Philip,geoId/4649300,n/a,455
West Haakon,wikidataId/Q6166905,n/a,229
Burr Oak,geoId/2611920,n/a,958
Burr Oak Township,geoId/2611940,n/a,n/a
Colon,geoId/2617360,n/a,1314
Colon Township,geoId/2617370,n/a,n/a
Constantine,geoId/2617840,n/a,1657
Constantine Township,geoId/2617860,n/a,n/a
Fabius,geoId/2614926920,n/a,n/a
Fawn River,geoId/2614927540,n/a,n/a
Florence,geoId/2614929060,n/a,n/a
Flowerfield,geoId/2614929140,n/a,n/a
Leonidas,geoId/2614947020,n/a,n/a
Lockport,geoId/2614949060,n/a,n/a
Mendon,geoId/2652980,n/a,1050
Mendon Township,geoId/2653000,n/a,n/a
Mottville,geoId/2614955780,n/a,n/a
Nottawa,geoId/2614959400,n/a,n/a
Park,geoId/2614962480,n/a,n/a
Sherman,geoId/2614973300,n/a,n/a
Sturgis,geoId/2676960,n/a,4310
Sturgis,geoId/2614976980,n/a,869
Sturgis Township,geoId/2676980,n/a,n/a
Three Rivers,geoId/2679760,n/a,2980
White Pigeon,geoId/2686920,n/a,1551
White Pigeon Township,geoId/2686940,n/a,n/a
Belle Glade,geoId/1205200,n/a,n/a
Belle Glade-Pahokee CCD,geoId/1209990143,n/a,10380
Boca Del Mar,geoId/1207235,n/a,n/a
Boca Raton,geoId/1207300,3.7,40434
Boca Raton CCD,geoId/1209990208,n/a,60167
Boca West,wikidataId/Q4936122,n/a,n/a
Boynton Beach,geoId/1207875,n/a,137788
Golfview,wikidataId/Q16891777,n/a,n/a
Juno Beach,geoId/1235850,n/a,410
Jupiter,geoId/1235875,n/a,38613
Jupiter Farms,geoId/1235890,n/a,4104
Jupiter Inlet Colony,geoId/1235900,n/a,184
Lake Belvedere Estates,geoId/1237542,n/a,1414
Lake Harbor,geoId/1238000,n/a,6
Lake Park,geoId/1238600,n/a,2607
Lake Worth,geoId/1239075,4,13144
Lake Worth CCD,geoId/1209991872,n/a,77035
